titles,authors,nums,peoples
"优衣库这样卖衣服,不服也得服!",[日]月泉博/曹逸冰/江苏文艺出版社/2013-8-15/32.00元,7.1,82
100个可操作的网络赚钱方法,陶秋丰/云南科技/2009-12/29.80元,7.3,28
创始人,王强/江苏人民出版社/2009-5/29.80元,7.4,953
创业者圣经：有创意、无资金如何起家,塞思·戈丁/赵孝盛/上海世纪出版集团/2000-12/17.0,7.8,64
Becoming Steve Jobs,BRENTSCHLENDER、RICKTETZELI/2014,9,39
日本最了不起的公司,坂本光司/蔡昭仪/宁夏人民出版社/2010-6/25.80元,8.3,424
远见,（美）克里斯滕森，安东尼，罗恩著，王强译/王强/商务印书馆发行部/2012-9/56.00元,8.4,106
商业秀,（美）斯科特·麦克凯恩/王楠岽、徐化/中信出版社/2003-12/23.00元,7.8,191
魔力创业,[美]克里斯•吉尔博（ChrisGuillebeau）/彭璐/中信出版社/2014-1-15/36.00元,7.6,109
从优秀到卓越,吉姆•柯林斯(JimCollins)/中信出版社/2009-11-1/39.00元,8.2,813
硅谷之光,大卫·卡普兰/刘骏杰/中国商业出版社,7.5,59
世界的另一面,[美]埃尔米拉·贝洛斯丽/赵国月/中国财政经济出版社/46.00,8.2,16
趋势红利,刘润/文化发展出版社（原印刷工业出版社）/2016-6-1/45.00,8.4,137
野孩子的梦,Emma/译林出版社/2015-6/39.80元,7.2,94
危机领导力,[美]丹尼斯·N·T·珀金斯、[美]吉莉安·B·墨菲/邓峰/中信出版社/2014-1-1/42.00,7.9,51
僧侣与谜语,[美]兰迪*科米萨/张莉/机械工业/2007-4/22.00元,8,92
创新者的变现力,[美]马克.佩恩/易伊/广东人民出版社/2016-3-1/45.00元,8.4,32
他山之石,[美]DavidCohen、[美]BradFeld/傅尔也/人民邮电出版社/2012-6/49.00元,7.1,45
