titles,authors,nums,peoples
价值再发现,(美)珍尼特・洛尔/李琰/张伟/吕旭峰/等/机械工业出版社/2000-07/25.00,8.8,56
货币的祸害,[美]米尔顿·弗里德曼/安佳/商务印书馆/2006-7/20.00元,8,364
公司价值分析,李杰/光明日报出版社/2015-5-1/20.00,9.1,112
兼并、收购与公司重组,帕特里克A.高根/朱宝宪/机械工业/2004-10/56.00元,8.1,82
时寒冰说：未来二十年，经济大趋势（现实篇）,时寒冰/上海财经大学出版社/2014-7-1/CNY49.80,8.2,1803
令人惊艳的十年,[美]珍妮特•耶伦(JanetL.Yellen)、[美]艾伦•布林德(AlanS.Blinder)/巴曙松白海峰/法律出版社/2014-8-1/35.00元,8,45
美联储,威廉·格雷德/耿丹/中国友谊出版公司/2013-4/99.00元,7.8,152
货币、银行与金融市场,[美]切凯蒂/郑振龙/北京大学出版社/2007-1/75.00元,8.6,68
史丹·温斯坦称傲牛熊市的秘密,史丹·温斯坦/曹乾/中国青年出版社/2008年06月/39.80元,9,687
中国资产证券化操作手册,林华/中信出版社/2015-7-1/CNY128.00,8.8,65
Your Complete Guide to Factor-Based Investing,AndrewLBerkin、LarryESwedroe/Buckingham/2016-10-7/USD12.99,8.2,10
不作不死,顽石/中国发展出版社/2014-11-1/CNY55.00,7,134
这次不一样,卡门M.莱因哈特、肯尼斯S.罗格夫/綦相、刘晓锋、刘丽娜/机械工业出版社/2012-9-1/59.90元,7.3,198
华尔街之狼,乔丹·贝尔福特/苏鸿雁/中信出版社/2013-12/45.00元,7.2,395
投资：一部历史,[美]诺顿·雷默杰西·唐宁/中信出版集团股份有限公司/2017-2-1/CNY68.00,8.9,38
对冲基金,罗闻全/寇文红/东北财经大学出版社/2011-7/58.00元,9.7,40
Financial Modeling,SimonBenninga/TheMITPress/2008-1-8/USD92.00,7.9,68
债券投资策略（原书第2版）,［美］　安东尼·克里森兹（AnthonyCrescenzi）/林东/机械工业出版社/2016-1-12/69.00,8.9,40
癫狂与恐慌,【美】巴顿•比格斯（BartonBiggs）/崔传刚/中信出版社/2016-2,8.5,49
货币野史,【美】菲利克斯•马汀/邓峰/中信出版社/2015-1/52.00元,8.3,92
高盛帝国（下）,[美]查尔斯·埃利斯/卢青、张玲、束宇/中信出版社/2010-1-1/42.00,7.5,558
Dynamic Hedging,Taleb/JohnWiley&Sons/1996-12-31/GBP105.00,9,44
搞懂金融的第一本书,文晞、路瑞锁/天津教育出版社/2012-2/36.00元,8.1,679
穷人的银行家,（孟）穆罕默德·尤努斯/吴士宏/生活·读书·新知三联书店/2006-6-1/21.50元,8.7,1121
艾略特波浪理论,小罗伯特・鲁格劳特・普莱切特、阿尔弗雷德・约翰・弗罗斯特/陈鑫/机械工业出版社/2003-1-1/38.00元,7.9,567
