titles,authors,nums,peoples
安迪·格鲁夫传,理查德·泰德罗/杨俊峰/上海人民/2007-8/39.00元,7.6,56
科技頑童沃茲尼克,沃茲尼克史密斯/遠流出版事業股份有限公司/20070727,7.6,12
财富的帝国,约翰.S.戈登/董宜坤/中信出版社/2007-6/42.00元,7.5,249
挡不住的趋势,张明正、陈怡蓁/电子工业出版社/2005-8/29.80元,7.8,73
杜拉拉升职记,李可/陕西师范大学出版社/2007-9/26.00元,6.5,90268
世界是新的-新兴市场崛起与争锋的世纪,[美]安东尼.范.阿格塔米尔/蒋永军/东方出版社/2007-9/45.00元,8.2,53
父与子,（美）小托马斯·沃森、彼德·彼德/尹红等/新华出版社/1995/18.00,7.9,46
农机巨人:迪尔,陈北/兰州大学出版社/1997-04/8.00,7.5,0
阅世心语,季羡林/陕西师范大学出版社/2007-9-1/29.80元,7.3,430
通用商战实录,史雷特/刘承钢/机械工业出版社/2001-10/22.00,8.5,10
科特论松下领导艺术,科特/林丽冠/中信出版社/2003-9/22.00元,8.8,18
清末现代企业与官商关系,陈锦江/王笛、张箭/中国社会科学出版社/1997/15.00元,7.8,12
略胜一筹,曾鸣/机械工业出版社/2004-05/25.00,7.1,146
卓有成效的管理者,[美]彼得·德鲁克/许是祥/机械工业出版社/2005-6/28.00元,8.8,9524
惠普之道,[美]戴维·/新华出版社/1995-07/9.80,7.5,84
颠覆者,[美]约翰·卡多/杨宇光/上海远东出版社/2007-7-1/38.00元,7.3,23
销售主管与ERP,何景霄/清华大学出版社/2007-7/30.00元,7.3,10
安迪·格鲁夫传,理查德·泰德罗/杨俊峰/上海人民/2007-8/39.00元,7.6,56
科技頑童沃茲尼克,沃茲尼克史密斯/遠流出版事業股份有限公司/20070727,7.3,12
博弈危机,徐明天/当代中国出版社/2005-1/30.00元,7.6,10
沃尔玛效应,（美）费什曼/张桦/中信出版社/2007-7-1/36.00元,7.6,209
财富的帝国,约翰.S.戈登/董宜坤/中信出版社/2007-6/42.00元,7.3,249
中国地名灯谜,王德海编/学苑出版社/2004-10/18.5,7.8,0
创造性破坏,福斯特等/唐锦超/中国人民大学出版社/2007-7/46.00元,7.1,43
中国品牌大赢家,[英]吉尔摩/中信出版社/2003-6/48.00元,7.9,10
清末现代企业与官商关系,陈锦江/王笛、张箭/中国社会科学出版社/1997/15.00元,6.5,12
20世纪的欧洲,陈乐民/生活·读书·新知三联书店/2007-10-01/23.00元,7.8,126
维基经济学,[加]唐·泰普斯科特、[英]安东尼·D·威廉姆斯/何帆、林季红/中国青年出版社/2007-10/43.80元,7.5,1103
圈子圈套3,王强/长江文艺出版社/2007-10/32.00元,8.3,6573
世界是新的-新兴市场崛起与争锋的世纪,[美]安东尼.范.阿格塔米尔/蒋永军/东方出版社/2007-9/45.00元,7.6,53
中国品牌大赢家,[英]吉尔摩/中信出版社/2003-6/48.00元,7.6,10
被夸大的使命,吴晓波/浙江人民出版社/2004-5-1/16.00元,6.2,85
中兴通讯,米周、尹生/当代中国出版社/2005-3/35.00元,8.5,30
第一幕后:影响中国社会经济进程的新闻当事人,张之清主笔/广东汕头大学/26.0,6.6,10
德川家康（第一部）,[日]山冈庄八/岳远坤、陈都伟/南海出版公司/2007-11/26.00元,7.1,8149
缔造中国富豪,"王吉鹏,赵婕著/经济日报出版社/2004-10/28.00元",7.5,21
华为四张脸,张贯京/广东经济出版社/2007-4/36.00元,7.3,74
