titles,authors,nums,peoples
哈佛经典谈判术,迪帕克·马尔霍特拉（DeepakMalhotra）、马克斯·巴泽曼（MaxH.Bazerman）/吴奕俊/中国人民大学出版社/2009-9/42.00元,8.6,205
给你一个团队，你能怎么管？,赵伟/江苏文艺出版社/2013-3-1/35.00元,6.7,1191
支付战争,埃里克•杰克逊/徐彬、王晓、清华大学五道口金融学院未央研究审译/中信出版社/2015-5-19/49.00,8.1,1484
细节营销,柏唯良、WillemBurgers/朱宇/机械工业出版社/2009/36.00元,8.4,772
胜者思维,金一南/北京联合出版公司/2017-5/45.00,8,140
餐巾纸的背面,[美]丹·罗姆/中信出版社/2009-6/28.00元,7.5,1527
99%的新人，没用心做好的50件事,(日)岩濑大辅/千太阳/中信出版社/2013-9/32.00元,7.8,749
科学管理原理,弗雷德里克·泰勒/马风才/机械工业出版社/2007-1/28.00元,8.4,353
世界上最伟大的推销员,[美]奥格·曼狄诺/安辽/世界知识出版社/2002-8/16.80元,7.9,5902
疯狂的功成名就,[德]沃尔夫冈·舒尔等/毕崇毅/北方文艺出版社/2007年5月/28.00元,8.3,278
模仿的技术,[日]井上达彦/兴远/世界图书出版公司·后浪出版公司/2014-9/28.00元,7.2,158
稻盛和夫的实学：经营和会计,稻盛和夫/译林出版社/2005-12/18.00元,8.2,192
要事第一,[美]史蒂芬·柯维、罗杰·梅里尔、丽贝卡·梅里尔/刘宗亚等/中国青年出版社/2010-10-1/28.00,8,768
追求卓越,"（美）彼得斯（Peters,T.）、（美）沃特曼（Waterman,R.）/戴春平/中央编译出版社/2003-10-01/29.80元",7.7,503
管理的常识,[美]艾伦·默里/邱璟旻/中华工商联合出版社有限责任公司/2012-2-1/32.00元,7.9,229
工商巨子,(美)荣・切尔诺/王恩冕等/海南出版社/2000-06/65.00,9.2,193
GitHub入门与实践,[日]大塚弘记/支鹏浩、刘斌/人民邮电出版社/2015-7/39.00元,8,278
高情商管理,南勇/中国友谊出版社/2017-6/46.00元,6.6,65
决策的艺术,[美]约翰·S.哈蒙德/孙涤[等]/上海人民出版社/2003-3/24.00元,8.2,160
師父-那些我在課堂外學會的本事,"Brodsky,Norm、Burlingham,Bo/林茂昌/早安財經文化有限公司/2009/10/02/140.00元",9.2,48
销售圣经,杰弗里·吉特默/陈召强/中华工商联合出版社/2009-5/39.00元,8.1,903
好团队激活个人,（美）约翰•科特、（美）霍尔格•拉斯格博/吴忠岫/湖北教育出版社/2017-4/48.00,7.5,26
理想丰满,冯仑/文化艺术出版社/2011-11/45.00元,7.6,2796
创京东,李志刚/中信出版社/2015-5-1/CNY49.80,7.1,1714
德鲁克日志,（美）彼得·德鲁克、（美）约瑟夫·马恰列洛/蒋旭峰、王珊珊/上海译文出版社/2006-1/38.00元,8.2,397
销售就是要玩转情商：99%的人都不知道的销售软技巧,科林•斯坦利（ColleenStanley）/佘卓桓/武汉出版社/2015-9/36.80,7.6,321
裂变式创业,宗毅、小泽/机械工业出版社/2016-1-1/39.84,7.9,249
清教徒的礼物,[美]肯尼斯·霍博、[美]威廉·霍博/丁丹/东方出版社/2013-11-1/48.00元,7.8,231
一胜九败,柳井正/徐静波/中信出版社/2011-1-19/28.00元,7.4,933
从“为什么”开始,[美]西蒙·斯涅克/苏西/海天出版社/2011-7/32.00元,8.1,201
权力与影响力,[美]约翰P.科特(JohnP.Kotter)/李亚、王璐、赵伟等/机械工业出版社/2008-1/28.00元,8.6,189
如何掌控自己的时间和生活,[美]阿兰·拉金/刘祥亚/金城出版社/2005-9/18.80元,7.6,4826
项目管理,(美)哈罗德·科兹纳著/杨爱华等译（北京航空航天大学）//2002-9/108.00元,8.6,92
阿米巴经营——畅销十周年纪念版,[日]稻盛和夫/曹岫云/中国大百科全书出版社/2016-3/35,7.8,195
柔道战略,大卫B.尤费/孙海龙、傅燕凌/机械工业出版社/2003-1/22.00元,8,188
企业生命周期,爱迪思/赵睿/华夏出版社/2004-1/39.80元,8.8,80
存在感,克里斯蒂·赫奇斯/高尚平/中信出版集团/2017-7/49,7.5,56
人力资源开发阅读地图,康至军、施琦、蒋天伦/凤凰出版传媒集团/2010-8/29.80元,9.1,173
硬派工作,[日]见城彻、藤田晋/程亮/后浪丨江西人民出版社/2017-7/36.00元,7.3,55
成功，动机与目标,海蒂•格兰特•霍尔沃森(HeidiGrantHalvorson)/汤珑/译林出版社/2013-3/48.80元,9,1003
第3选择,史蒂芬•柯维(StephenRCovey)/李莉、石继志/中信出版社/2013-6/CNY69.00,7.5,255
管理者的10堂战略课（修订第4版）,[美]科尼利斯·德·克鲁维尔（CornelisA.deKluyver）、约翰·皮尔斯二世（JohnA.PearceII）/马昕/世界图书出版公司·后浪出版公司/2015-6/36.00元,8.7,52
九败一胜,李志刚/北京联合出版公司/2014-9-1/42.00元,7.9,1235
人力资源管理,加里·德斯勒/刘昕/2012-6/79.00元,8.6,94
阿米巴经营,[日]稻盛和夫/陈忠/中国大百科全书出版社/2009-10/33.00元,7.7,708
专业服务公司的管理,梅斯特/大龙、王文远、王静/机械工业出版社/2009-7/48.00元,9.3,93
管理的真相,[美]杰弗瑞•菲佛（JeffreyPfeffer）罗伯特•萨顿(RoberI.Sutton)著/闾佳邓瑞华译/湛庐文化/2008-8/46.00元,8.5,94
洛克菲勒留给儿子的38封信,约翰·D·洛克菲勒(JohnDavisonRockefeller)/严硕/中国妇女出版社/2004-7/29.80,8.7,2429
打造Facebook,王淮、祝文让/印刷工业出版社/2013-2-1/39.80元,7.5,2174
高效能人士的第八个习惯,（美）史蒂芬・柯维/陈允明、王亦兵/中国青年出版社/2005-02/25.00,7.7,458
麦肯锡问题分析与解决技巧,高杉尚孝/郑舜珑/北京时代华文书局有限公司/2014-6/35,6.9,337
战略的本质,[美]马丁▪里维斯（MartinReeves）、[挪]纳特▪汉拿斯（KnutHaanaes）、[印]詹美贾亚▪辛哈（JanmejayaSinha）/王喆、韩阳/中信出版集团/2016-6-1/48.00,7.8,126
用图表说话,[美]基恩·泽拉兹尼/马晓路、马洪德/清华大学/2008-5/32.00元,7.5,537
找我1,黄铁鹰/中信出版社/2012-11/38.00元,7.9,303
斯坦福商业决策课,卡尔•斯佩茨勒，汉娜•温特，珍妮弗•迈耶/张源/湖南文艺出版社/2017-6/49.00,7.9,125
运营管理,蔡斯/任建标/机械工业/2007-7/88.00元,8.1,59
顾客为什么购买,昂德希尔/刘尚焱/中信出版社/2004-5-1/22.00元,8.1,1001
丰田生产方式,大野耐一/中国铁道出版社/2006-4/28.00元,8.2,399
项目管理之美,ScottBerkun/李桂杰、黄明军/机械工业出版社/2009-4/59.00元,7.9,197
奖励的惩罚,(美)埃尔菲·艾恩/程寅、艾斐/三联书店上海分店/2006-1/20.00元,8.2,114
日本制造,[日]盛田昭夫、[日]下村满子/周征文/中信出版集团/2016-12-10/58.00,8,338
超越对手,张志、萧秋水、宋利/机械工业出版社/2010/35.00元,8.5,258
管理决策中的判断,马克斯·巴泽曼(MaxH.Bazerman)/人民邮电出版社/2007-1-1/58.00元,8.6,108
